20181001|13136|V2.0
KT-PIF-A|KTSET50RMF|4|
KT-PIF-A|KTSF|4|
KT-PIF-A|KTSS|4|
KT-PIF-A|KT-ST|4|
KT-PIF-A|KTSTPLUS-A|4|
KT-PIF-A|KTSV|4|
KT-PIF-A|KT-US-A|4|
KT-PIF-A|KT-WCORP|4|
KT-PIF-A|KT-WEQ|4|
KT-PIF-A|KT-WEQ RMF|4|
KT-PIF-A|KTWG-A|4|
KT-PIF-A|RMF1|4|
KT-PIF-A|RMF2|4|
KT-PIF-A|RMF3|4|
KT-PIF-A|RMF4|4|
KT-PIF-A|TOF|4|
KT-PIF-D|KSET50LTF|4|
KT-PIF-D|KSLTF|4|
KT-PIF-D|KSRMF|4|
KT-PIF-D|KT25/75-A|4|
KT-PIF-D|KT25/75-R|4|
KT-PIF-D|KT25/75RMF|4|
KT-PIF-D|KT-AASIA-A|4|
KT-PIF-D|KT-AGRI|4|
KT-PIF-D|KT-ASEAN-A|4|
KT-PIF-D|KT-BOND|4|
KT-PIF-D|KT-BOND RMF|4|
KT-PIF-D|KT-CHINA RMF|4|
KT-PIF-D|KT-CLMVT-A|4|
KT-PIF-D|KT-CLMVT-D|4|
KT-PIF-D|KTEF|4|
KT-PIF-D|KTEF-LTF|4|
KT-PIF-D|KTEF-RMF|4|
KT-PIF-D|KT-ENERGY|4|
KT-PIF-D|KT-EURO|4|
KT-PIF-D|KTFF174|4|
KT-PIF-D|KTFF37|4|
KT-PIF-D|KT-FINANCE|4|
KT-PIF-D|KTFIX-1Y3Y|4|
KT-PIF-D|KTFIXPLUS-A|4|
KT-PIF-D|KTFIXPLUS-D|4|
KT-PIF-D|KTFIXPLUS-I|4|
KT-PIF-D|KT-FLEX|4|
KT-PIF-D|KT-GMO-A|4|
KT-PIF-D|KT-GOLD|4|
KT-PIF-D|KT-GOLD RMF|4|
KT-PIF-D|KT-HEALTHC RMF|4|
KT-PIF-D|KT-HEALTHCARE-A|4|
KT-PIF-D|KT-HiDiv|4|
KT-PIF-D|KT-HiDiv RMF|4|
KT-PIF-D|KT-IGF-R|4|
KT-PIF-D|KTILB|4|
KT-PIF-D|KTILF|4|
KT-PIF-D|KT-INDIA-A|4|
KT-PIF-D|KT-INDIA-D|4|
KT-PIF-D|KT-JAPAN-A|4|
KT-PIF-D|KT-JAPAN-D|4|
KT-PIF-D|KTLF|4|
KT-PIF-D|KTLF70/30|4|
KT-PIF-D|KT-mai|4|
KT-PIF-D|KT-MINING|4|
KT-PIF-D|KTMSEQ|4|
KT-PIF-D|KT-OIL|4|
KT-PIF-D|KTOIL5-1|4|
KT-PIF-D|KT-PIF RMF|4|
KT-PIF-D|KT-PIF-A|0|
KT-PIF-D|KTPLUS|4|
KT-PIF-D|KT-PRECIOUS|4|
KT-PIF-D|KT-PROPERTY|4|
KT-PIF-D|KT-PROPERTY RMF|4|
KT-PIF-D|KTSE|4|
KT-PIF-D|KTSE-LTF|4|
KT-PIF-D|KTSE-RMF|4|
KT-PIF-D|KT-SET50-A|4|
KT-PIF-D|KTSET50RMF|4|
KT-PIF-D|KTSF|4|
KT-PIF-D|KTSS|4|
KT-PIF-D|KT-ST|4|
KT-PIF-D|KTSTPLUS-A|4|
KT-PIF-D|KTSV|4|
KT-PIF-D|KT-US-A|4|
KT-PIF-D|KT-WCORP|4|
KT-PIF-D|KT-WEQ|4|
KT-PIF-D|KT-WEQ RMF|4|
KT-PIF-D|KTWG-A|4|
KT-PIF-D|RMF1|4|
KT-PIF-D|RMF2|4|
KT-PIF-D|RMF3|4|
KT-PIF-D|RMF4|4|
KT-PIF-D|TOF|4|
KTPLUS|KSET50LTF|0|
KTPLUS|KSLTF|0|
KTPLUS|KSRMF|0|
KTPLUS|KT25/75-A|0|
KTPLUS|KT25/75-R|0|
KTPLUS|KT25/75RMF|0|
KTPLUS|KT-AASIA-A|0|
KTPLUS|KT-AGRI|0|
KTPLUS|KT-ASEAN-A|0|
KTPLUS|KT-BOND|0|
KTPLUS|KT-BOND RMF|0|
KTPLUS|KT-CHINA RMF|0|
KTPLUS|KT-CLMVT-A|0|
KTPLUS|KT-CLMVT-D|0|
KTPLUS|KTEF|0|
KTPLUS|KTEF-LTF|0|
KTPLUS|KTEF-RMF|0|
KTPLUS|KT-ENERGY|0|
KTPLUS|KT-EURO|0|
KTPLUS|KTFF174|0|
KTPLUS|KTFF37|0|
KTPLUS|KT-FINANCE|0|
KTPLUS|KTFIX-1Y3Y|0|
KTPLUS|KTFIX3M1|0|
KTPLUS|KTFIX3M2|0|
KTPLUS|KTFIX3M3|0|
KTPLUS|KTFIXPLUS-A|0|
KTPLUS|KTFIXPLUS-D|0|
KTPLUS|KTFIXPLUS-I|0|
KTPLUS|KT-FLEX|0|
KTPLUS|KT-GMO-A|0|
KTPLUS|KT-GOLD|0|
KTPLUS|KT-GOLD RMF|0|
KTPLUS|KT-HEALTHC RMF|0|
KTPLUS|KT-HEALTHCARE-A|0|
KTPLUS|KT-HiDiv|0|
KTPLUS|KT-HiDiv RMF|0|
KTPLUS|KT-IGF-R|0|
KTPLUS|KTILB|0|
KTPLUS|KTILF|0|
KTPLUS|KT-INDIA-A|0|
KTPLUS|KT-INDIA-D|0|
KTPLUS|KT-JAPAN-A|0|
KTPLUS|KT-JAPAN-D|0|
KTPLUS|KTLF|0|
KTPLUS|KTLF70/30|0|
KTPLUS|KT-mai|0|
KTPLUS|KT-MINING|0|
KTPLUS|KTMSEQ|0|
KTPLUS|KT-OIL|0|
KTPLUS|KTOIL5-1|0|
KTPLUS|KT-PIF RMF|0|
KTPLUS|KT-PIF-A|0|
KTPLUS|KT-PIF-D|0|
KTPLUS|KT-PRECIOUS|0|
KTPLUS|KT-PROPERTY|0|
KTPLUS|KT-PROPERTY RMF|0|
KTPLUS|KTSE|0|
KTPLUS|KTSE-LTF|0|
KTPLUS|KTSE-RMF|0|
KTPLUS|KT-SET50-A|0|
KTPLUS|KTSET50RMF|0|
KTPLUS|KTSF|0|
KTPLUS|KTSIV3M1|0|
KTPLUS|KTSIV3M2|0|
KTPLUS|KTSIV3M3|0|
KTPLUS|KTSIV6M1|0|
KTPLUS|KTSIV6M2|0|
KTPLUS|KTSIV6M3|0|
KTPLUS|KTSIV6M4|0|
KTPLUS|KTSIV6M5|0|
KTPLUS|KTSIV6M6|0|
KTPLUS|KTSS|0|
KTPLUS|KT-ST|0|
KTPLUS|KTSTPLUS-A|0|
KTPLUS|KTSV|0|
KTPLUS|KT-US-A|0|
KTPLUS|KT-WCORP|0|
KTPLUS|KT-WEQ|0|
KTPLUS|KT-WEQ RMF|0|
KTPLUS|KTWG-A|0|
KTPLUS|RMF1|0|
KTPLUS|RMF2|0|
KTPLUS|RMF3|0|
KTPLUS|RMF4|0|
KTPLUS|TOF|0|
KT-PRECIOUS|KSET50LTF|4|
KT-PRECIOUS|KSLTF|4|
KT-PRECIOUS|KSRMF|4|
KT-PRECIOUS|KT25/75-A|4|
KT-PRECIOUS|KT25/75-R|4|
KT-PRECIOUS|KT25/75RMF|4|
KT-PRECIOUS|KT-AASIA-A|4|
KT-PRECIOUS|KT-AGRI|4|
KT-PRECIOUS|KT-ASEAN-A|4|
KT-PRECIOUS|KT-BOND|4|
KT-PRECIOUS|KT-BOND RMF|4|
KT-PRECIOUS|KT-CHINA RMF|4|
KT-PRECIOUS|KT-CLMVT-A|4|
KT-PRECIOUS|KT-CLMVT-D|4|
KT-PRECIOUS|KTEF|4|
KT-PRECIOUS|KTEF-LTF|4|
KT-PRECIOUS|KTEF-RMF|4|
KT-PRECIOUS|KT-ENERGY|4|
KT-PRECIOUS|KT-EURO|4|
KT-PRECIOUS|KTFF174|4|
KT-PRECIOUS|KTFF37|4|
KT-PRECIOUS|KT-FINANCE|4|
KT-PRECIOUS|KTFIX-1Y3Y|4|
KT-PRECIOUS|KTFIXPLUS-A|4|
KT-PRECIOUS|KTFIXPLUS-D|4|
KT-PRECIOUS|KTFIXPLUS-I|4|
KT-PRECIOUS|KT-FLEX|4|
KT-PRECIOUS|KT-GMO-A|4|
KT-PRECIOUS|KT-GOLD|4|
KT-PRECIOUS|KT-GOLD RMF|4|
KT-PRECIOUS|KT-HEALTHC RMF|4|
KT-PRECIOUS|KT-HEALTHCARE-A|4|
KT-PRECIOUS|KT-HiDiv|4|
KT-PRECIOUS|KT-HiDiv RMF|4|
KT-PRECIOUS|KT-IGF-R|4|
KT-PRECIOUS|KTILB|4|
KT-PRECIOUS|KTILF|4|
KT-PRECIOUS|KT-INDIA-A|4|
KT-PRECIOUS|KT-INDIA-D|4|
KT-PRECIOUS|KT-JAPAN-A|4|
KT-PRECIOUS|KT-JAPAN-D|4|
KT-PRECIOUS|KTLF|4|
KT-PRECIOUS|KTLF70/30|4|
KT-PRECIOUS|KT-mai|4|
KT-PRECIOUS|KT-MINING|4|
KT-PRECIOUS|KTMSEQ|4|
KT-PRECIOUS|KT-OIL|4|
KT-PRECIOUS|KTOIL5-1|4|
KT-PRECIOUS|KT-PIF RMF|4|
KT-PRECIOUS|KT-PIF-A|4|
KT-PRECIOUS|KT-PIF-D|4|
KT-PRECIOUS|KTPLUS|4|
KT-PRECIOUS|KT-PROPERTY|4|
KT-PRECIOUS|KT-PROPERTY RMF|4|
KT-PRECIOUS|KTSE|4|
KT-PRECIOUS|KTSE-LTF|4|
KT-PRECIOUS|KTSE-RMF|4|
KT-PRECIOUS|KT-SET50-A|4|
KT-PRECIOUS|KTSET50RMF|4|
KT-PRECIOUS|KTSF|4|
KT-PRECIOUS|KTSS|4|
KT-PRECIOUS|KT-ST|4|
KT-PRECIOUS|KTSTPLUS-A|4|
KT-PRECIOUS|KTSV|4|
KT-PRECIOUS|KT-US-A|4|
KT-PRECIOUS|KT-WCORP|4|
KT-PRECIOUS|KT-WEQ|4|
KT-PRECIOUS|KT-WEQ RMF|4|
KT-PRECIOUS|KTWG-A|4|
KT-PRECIOUS|RMF1|4|
KT-PRECIOUS|RMF2|4|
KT-PRECIOUS|RMF3|4|
KT-PRECIOUS|RMF4|4|
KT-PRECIOUS|TOF|4|
KT-PROPERTY|KSET50LTF|4|
KT-PROPERTY|KSLTF|4|
KT-PROPERTY|KSRMF|4|
KT-PROPERTY|KT25/75-A|4|
KT-PROPERTY|KT25/75-R|4|
KT-PROPERTY|KT25/75RMF|4|
KT-PROPERTY|KT-AASIA-A|4|
KT-PROPERTY|KT-AGRI|4|
KT-PROPERTY|KT-ASEAN-A|4|
KT-PROPERTY|KT-BOND|4|
KT-PROPERTY|KT-BOND RMF|4|
KT-PROPERTY|KT-CHINA RMF|4|
KT-PROPERTY|KT-CLMVT-A|4|
KT-PROPERTY|KT-CLMVT-D|4|
KT-PROPERTY|KTEF|4|
KT-PROPERTY|KTEF-LTF|4|
KT-PROPERTY|KTEF-RMF|4|
KT-PROPERTY|KT-ENERGY|4|
KT-PROPERTY|KT-EURO|4|
KT-PROPERTY|KTFF174|4|
KT-PROPERTY|KTFF37|4|
KT-PROPERTY|KT-FINANCE|4|
KT-PROPERTY|KTFIX-1Y3Y|4|
KT-PROPERTY|KTFIXPLUS-A|4|
KT-PROPERTY|KTFIXPLUS-D|4|
KT-PROPERTY|KTFIXPLUS-I|4|
KT-PROPERTY|KT-FLEX|4|
KT-PROPERTY|KT-GMO-A|4|
KT-PROPERTY|KT-GOLD|4|
KT-PROPERTY|KT-GOLD RMF|4|
KT-PROPERTY|KT-HEALTHC RMF|4|
KT-PROPERTY|KT-HEALTHCARE-A|4|
KT-PROPERTY|KT-HiDiv|4|
KT-PROPERTY|KT-HiDiv RMF|4|
KT-PROPERTY|KT-IGF-R|4|
KT-PROPERTY|KTILB|4|
KT-PROPERTY|KTILF|4|
KT-PROPERTY|KT-INDIA-A|4|
KT-PROPERTY|KT-INDIA-D|4|
KT-PROPERTY|KT-JAPAN-A|4|
KT-PROPERTY|KT-JAPAN-D|4|
KT-PROPERTY|KTLF|4|
KT-PROPERTY|KTLF70/30|4|
KT-PROPERTY|KT-mai|4|
KT-PROPERTY|KT-MINING|4|
KT-PROPERTY|KTMSEQ|4|
KT-PROPERTY|KT-OIL|4|
KT-PROPERTY|KTOIL5-1|4|
KT-PROPERTY|KT-PIF RMF|4|
KT-PROPERTY|KT-PIF-A|4|
KT-PROPERTY|KT-PIF-D|4|
KT-PROPERTY|KTPLUS|4|
KT-PROPERTY|KT-PRECIOUS|4|
KT-PROPERTY|KT-PROPERTY RMF|4|
KT-PROPERTY|KTSE|4|
KT-PROPERTY|KTSE-LTF|4|
KT-PROPERTY|KTSE-RMF|4|
KT-PROPERTY|KT-SET50-A|4|
KT-PROPERTY|KTSET50RMF|4|
KT-PROPERTY|KTSF|4|
KT-PROPERTY|KTSS|4|
KT-PROPERTY|KT-ST|4|
KT-PROPERTY|KTSTPLUS-A|4|
KT-PROPERTY|KTSV|4|
KT-PROPERTY|KT-US-A|4|
KT-PROPERTY|KT-WCORP|4|
KT-PROPERTY|KT-WEQ|4|
KT-PROPERTY|KT-WEQ RMF|4|
KT-PROPERTY|KTWG-A|4|
KT-PROPERTY|RMF1|4|
KT-PROPERTY|RMF2|4|
KT-PROPERTY|RMF3|4|
KT-PROPERTY|RMF4|4|
KT-PROPERTY|TOF|4|
KT-PROPERTY RMF|RMF4|4|
KTSE|KSET50LTF|0|
KTSE|KSLTF|0|
KTSE|KSRMF|0|
KTSE|KT25/75-A|0|
KTSE|KT25/75-R|0|
KTSE|KT25/75RMF|0|
KTSE|KT-AASIA-A|3|
KTSE|KT-AGRI|3|
KTSE|KT-ASEAN-A|3|
KTSE|KT-BOND|3|
KTSE|KT-BOND RMF|3|
KTSE|KT-CHINA RMF|3|
KTSE|KT-CLMVT-A|3|
KTSE|KT-CLMVT-D|3|
KTSE|KTEF|0|
KTSE|KTEF-LTF|0|
KTSE|KTEF-RMF|0|
KTSE|KT-ENERGY|3|
KTSE|KT-EURO|3|
KTSE|KTFF174|3|
KTSE|KTFF37|3|
KTSE|KT-FINANCE|3|
KTSE|KTFIX-1Y3Y|2|
KTSE|KTFIXPLUS-A|1|
KTSE|KTFIXPLUS-D|1|
KTSE|KTFIXPLUS-I|1|
KTSE|KT-FLEX|0|
KTSE|KT-GMO-A|3|
KTSE|KT-GOLD|3|
KTSE|KT-GOLD RMF|3|
KTSE|KT-HEALTHC RMF|3|
KTSE|KT-HEALTHCARE-A|3|
KTSE|KT-HiDiv|0|
KTSE|KT-HiDiv RMF|0|
KTSE|KT-IGF-R|3|
KTSE|KTILB|3|
KTSE|KTILF|2|
KTSE|KT-INDIA-A|3|
KTSE|KT-INDIA-D|3|
KTSE|KT-JAPAN-A|3|
KTSE|KT-JAPAN-D|3|
KTSE|KTLF|0|
KTSE|KTLF70/30|0|
KTSE|KT-mai|0|
KTSE|KT-MINING|3|
KTSE|KTMSEQ|0|
KTSE|KT-OIL|3|
KTSE|KTOIL5-1|3|
KTSE|KT-PIF RMF|3|
KTSE|KT-PIF-A|3|
KTSE|KT-PIF-D|3|
KTSE|KTPLUS|2|
KTSE|KT-PRECIOUS|3|
KTSE|KT-PROPERTY|3|
KTSE|KT-PROPERTY RMF|3|
KTSE|KTSE-LTF|0|
KTSE|KTSE-RMF|0|
KTSE|KT-SET50-A|0|
KTSE|KTSET50RMF|0|
KTSE|KTSF|0|
KTSE|KTSS|2|
KTSE|KT-ST|2|
KTSE|KTSTPLUS-A|2|
KTSE|KTSV|2|
KTSE|KT-US-A|3|
KTSE|KT-WCORP|3|
KTSE|KT-WEQ|3|
KTSE|KT-WEQ RMF|3|
KTSE|KTWG-A|3|
KTSE|RMF1|0|
KTSE|RMF2|1|
KTSE|RMF3|1|
KTSE|RMF4|2|
KTSE|TOF|3|
KTSE-LTF|KSET50LTF|0|
KTSE-LTF|KSLTF|0|
KTSE-LTF|KTEF-LTF|0|
KTSE-LTF|KTLF|0|
KTSE-LTF|KTLF70/30|0|
KTSE-RMF|KSRMF|0|
KTSE-RMF|KT25/75RMF|0|
KTSE-RMF|KTEF-RMF|0|
KTSE-RMF|KT-GOLD RMF|3|
KTSE-RMF|KT-HiDiv RMF|0|
KTSE-RMF|KTSET50RMF|0|
KTSE-RMF|RMF1|0|
KTSE-RMF|RMF2|1|
KTSE-RMF|RMF3|1|
KTSE-RMF|RMF4|2|
KT-SET50-A|KSET50LTF|0|
KT-SET50-A|KSLTF|0|
KT-SET50-A|KSRMF|0|
KT-SET50-A|KT25/75-A|0|
KT-SET50-A|KT25/75-R|0|
KT-SET50-A|KT25/75RMF|0|
KT-SET50-A|KT-AASIA-A|3|
KT-SET50-A|KT-AGRI|3|
KT-SET50-A|KT-ASEAN-A|3|
KT-SET50-A|KT-BOND|3|
KT-SET50-A|KT-BOND RMF|3|
KT-SET50-A|KT-CHINA RMF|3|
KT-SET50-A|KT-CLMVT-A|3|
KT-SET50-A|KT-CLMVT-D|3|
KT-SET50-A|KTEF|0|
KT-SET50-A|KTEF-LTF|0|
KT-SET50-A|KTEF-RMF|0|
KT-SET50-A|KT-ENERGY|3|
KT-SET50-A|KT-EURO|3|
KT-SET50-A|KTFF174|3|
KT-SET50-A|KTFF37|3|
KT-SET50-A|KT-FINANCE|3|
KT-SET50-A|KTFIX-1Y3Y|2|
KT-SET50-A|KTFIXPLUS-A|1|
KT-SET50-A|KTFIXPLUS-D|1|
KT-SET50-A|KTFIXPLUS-I|1|
KT-SET50-A|KT-FLEX|0|
KT-SET50-A|KT-GMO-A|3|
KT-SET50-A|KT-GOLD|3|
KT-SET50-A|KT-GOLD RMF|3|
KT-SET50-A|KT-HEALTHC RMF|3|
KT-SET50-A|KT-HEALTHCARE-A|3|
KT-SET50-A|KT-HiDiv|0|
KT-SET50-A|KT-HiDiv RMF|0|
KT-SET50-A|KT-IGF-R|3|
KT-SET50-A|KTILB|3|
KT-SET50-A|KTILF|2|
KT-SET50-A|KT-INDIA-A|3|
KT-SET50-A|KT-INDIA-D|3|
KT-SET50-A|KT-JAPAN-A|3|
KT-SET50-A|KT-JAPAN-D|3|
KT-SET50-A|KTLF|0|
KT-SET50-A|KTLF70/30|0|
KT-SET50-A|KT-mai|0|
KT-SET50-A|KT-MINING|3|
KT-SET50-A|KTMSEQ|0|
KT-SET50-A|KT-OIL|3|
KT-SET50-A|KTOIL5-1|3|
KT-SET50-A|KT-PIF RMF|3|
KT-SET50-A|KT-PIF-A|3|
KT-SET50-A|KT-PIF-D|3|
KT-SET50-A|KTPLUS|2|
KT-SET50-A|KT-PRECIOUS|3|
KT-SET50-A|KT-PROPERTY|3|
KT-SET50-A|KT-PROPERTY RMF|3|
KT-SET50-A|KTSE|0|
KT-SET50-A|KTSE-LTF|0|
KT-SET50-A|KTSE-RMF|0|
KT-SET50-A|KTSET50RMF|0|
KT-SET50-A|KTSF|0|
KT-SET50-A|KTSS|2|
KT-SET50-A|KT-ST|2|
KT-SET50-A|KTSTPLUS-A|2|
KT-SET50-A|KTSV|2|
KT-SET50-A|KT-US-A|3|
KT-SET50-A|KT-WCORP|3|
KT-SET50-A|KT-WEQ|3|
KT-SET50-A|KT-WEQ RMF|3|
KT-SET50-A|KTWG-A|3|
KT-SET50-A|RMF1|0|
KT-SET50-A|RMF2|1|
KT-SET50-A|RMF3|1|
KT-SET50-A|RMF4|2|
KT-SET50-A|TOF|3|
KTSET50RMF|KSRMF|0|
KTSET50RMF|KT25/75RMF|0|
KTSET50RMF|KTEF-RMF|0|
KTSET50RMF|KT-GOLD RMF|3|
KTSET50RMF|KT-HiDiv RMF|0|
KTSET50RMF|KTSE-RMF|0|
KTSET50RMF|RMF1|0|
KTSET50RMF|RMF2|1|
KTSET50RMF|RMF3|1|
KTSET50RMF|RMF4|2|
KTSF|KSET50LTF|0|
KTSF|KSLTF|0|
KTSF|KSRMF|0|
KTSF|KT25/75-A|0|
KTSF|KT25/75-R|0|
KTSF|KT25/75RMF|0|
KTSF|KT-AASIA-A|3|
KTSF|KT-AGRI|3|
KTSF|KT-ASEAN-A|3|
KTSF|KT-BOND|3|
KTSF|KT-BOND RMF|3|
KTSF|KT-CHINA RMF|3|
KTSF|KT-CLMVT-A|3|
KTSF|KT-CLMVT-D|3|
KTSF|KTEF|0|
KTSF|KTEF-LTF|0|
KTSF|KTEF-RMF|0|
KTSF|KT-ENERGY|3|
KTSF|KT-EURO|3|
KTSF|KTFF174|3|
KTSF|KTFF37|3|
KTSF|KT-FINANCE|3|
KTSF|KTFIX-1Y3Y|2|
KTSF|KTFIXPLUS-A|1|
KTSF|KTFIXPLUS-D|1|
KTSF|KTFIXPLUS-I|1|
KTSF|KT-FLEX|0|
KTSF|KT-GMO-A|3|
KTSF|KT-GOLD|3|
KTSF|KT-GOLD RMF|3|
KTSF|KT-HEALTHC RMF|3|
KTSF|KT-HEALTHCARE-A|3|
KTSF|KT-HiDiv|0|
KTSF|KT-HiDiv RMF|0|
KTSF|KT-IGF-R|3|
KTSF|KTILB|3|
KTSF|KTILF|2|
KTSF|KT-INDIA-A|3|
KTSF|KT-INDIA-D|3|
KTSF|KT-JAPAN-A|3|
KTSF|KT-JAPAN-D|3|
KTSF|KTLF|0|
KTSF|KTLF70/30|0|
KTSF|KT-mai|0|
KTSF|KT-MINING|3|
KTSF|KTMSEQ|0|
KTSF|KT-OIL|3|
KTSF|KTOIL5-1|3|
KTSF|KT-PIF RMF|3|
KTSF|KT-PIF-A|3|
KTSF|KT-PIF-D|3|
KTSF|KTPLUS|2|
KTSF|KT-PRECIOUS|3|
KTSF|KT-PROPERTY|3|
KTSF|KT-PROPERTY RMF|3|
KTSF|KTSE|0|
KTSF|KTSE-LTF|0|
KTSF|KTSE-RMF|0|
KTSF|KT-SET50-A|0|
KTSF|KTSET50RMF|0|
KTSF|KTSS|2|
KTSF|KT-ST|2|
KTSF|KTSTPLUS-A|2|
KTSF|KTSV|2|
KTSF|KT-US-A|3|
KTSF|KT-WCORP|3|
KTSF|KT-WEQ|3|
KTSF|KT-WEQ RMF|3|
KTSF|KTWG-A|3|
KTSF|RMF1|0|
KTSF|RMF2|1|
KTSF|RMF3|1|
KTSF|RMF4|2|
KTSF|TOF|3|
KTSS|KSET50LTF|0|
KTSS|KSLTF|0|
KTSS|KSRMF|0|
KTSS|KT25/75-A|0|
KTSS|KT25/75-R|0|
KTSS|KT25/75RMF|0|
KTSS|KT-AASIA-A|0|
KTSS|KT-AGRI|0|
KTSS|KT-ASEAN-A|0|
KTSS|KT-BOND|0|
KTSS|KT-BOND RMF|0|
KTSS|KT-CHINA RMF|0|
KTSS|KT-CLMVT-A|0|
KTSS|KT-CLMVT-D|0|
KTSS|KTEF|0|
KTSS|KTEF-LTF|0|
KTSS|KTEF-RMF|0|
KTSS|KT-ENERGY|0|
KTSS|KT-EURO|0|
KTSS|KTFF174|0|
KTSS|KTFF37|0|
KTSS|KT-FINANCE|0|
KTSS|KTFIX-1Y3Y|0|
KTSS|KTFIX3M1|0|
KTSS|KTFIX3M2|0|
KTSS|KTFIX3M3|0|
KTSS|KTFIXPLUS-A|0|
KTSS|KTFIXPLUS-D|0|
KTSS|KTFIXPLUS-I|0|
KTSS|KT-FLEX|0|
KTSS|KT-GMO-A|0|
KTSS|KT-GOLD|0|
KTSS|KT-GOLD RMF|0|
KTSS|KT-HEALTHC RMF|0|
KTSS|KT-HEALTHCARE-A|0|
KTSS|KT-HiDiv|0|
KTSS|KT-HiDiv RMF|0|
KTSS|KT-IGF-R|0|
KTSS|KTILB|0|
KTSS|KTILF|0|
KTSS|KT-INDIA-A|0|
KTSS|KT-INDIA-D|0|
KTSS|KT-JAPAN-A|0|
KTSS|KT-JAPAN-D|0|
KTSS|KTLF|0|
KTSS|KTLF70/30|0|
KTSS|KT-mai|0|
KTSS|KT-MINING|0|
KTSS|KTMSEQ|0|
KTSS|KT-OIL|0|
KTSS|KTOIL5-1|0|
KTSS|KT-PIF RMF|0|
KTSS|KT-PIF-A|0|
KTSS|KT-PIF-D|0|
KTSS|KTPLUS|0|
KTSS|KT-PRECIOUS|0|
KTSS|KT-PROPERTY|0|
KTSS|KT-PROPERTY RMF|0|
KTSS|KTSE|0|
KTSS|KTSE-LTF|0|
KTSS|KTSE-RMF|0|
KTSS|KT-SET50-A|0|
KTSS|KTSET50RMF|0|
KTSS|KTSF|0|
KTSS|KTSIV3M1|0|
KTSS|KTSIV3M2|0|
KTSS|KTSIV3M3|0|
KTSS|KTSIV6M1|0|
KTSS|KTSIV6M2|0|
KTSS|KTSIV6M3|0|
KTSS|KTSIV6M4|0|
KTSS|KTSIV6M5|0|
KTSS|KTSIV6M6|0|
KTSS|KT-ST|0|
KTSS|KTSTPLUS-A|0|
KTSS|KTSV|0|
KTSS|KT-US-A|0|
KTSS|KT-WCORP|0|
KTSS|KT-WEQ|0|
KTSS|KT-WEQ RMF|0|
KTSS|KTWG-A|0|
KTSS|RMF1|0|
KTSS|RMF2|0|
KTSS|RMF3|0|
KTSS|RMF4|0|
KTSS|TOF|0|
KT-ST|KSET50LTF|0|
KT-ST|KSLTF|0|
KT-ST|KSRMF|0|
KT-ST|KT25/75-A|0|
KT-ST|KT25/75-R|0|
KT-ST|KT25/75RMF|0|
KT-ST|KT-AASIA-A|0|
KT-ST|KT-AGRI|0|
KT-ST|KT-ASEAN-A|0|
KT-ST|KT-BOND|0|
KT-ST|KT-BOND RMF|0|
KT-ST|KT-CHINA RMF|0|
KT-ST|KT-CLMVT-A|0|
KT-ST|KT-CLMVT-D|0|
KT-ST|KTEF|0|
KT-ST|KTEF-LTF|0|
KT-ST|KTEF-RMF|0|
KT-ST|KT-ENERGY|0|
KT-ST|KT-EURO|0|
KT-ST|KTFF174|0|
KT-ST|KTFF37|0|
KT-ST|KT-FINANCE|0|
KT-ST|KTFIX-1Y3Y|0|
KT-ST|KTFIX3M1|0|
KT-ST|KTFIX3M2|0|
KT-ST|KTFIX3M3|0|
KT-ST|KTFIXPLUS-A|0|
KT-ST|KTFIXPLUS-D|0|
KT-ST|KTFIXPLUS-I|0|
KT-ST|KT-FLEX|0|
KT-ST|KT-GMO-A|0|
KT-ST|KT-GOLD|0|
KT-ST|KT-GOLD RMF|0|
KT-ST|KT-HEALTHC RMF|0|
KT-ST|KT-HEALTHCARE-A|0|
KT-ST|KT-HiDiv|0|
KT-ST|KT-HiDiv RMF|0|
KT-ST|KT-IGF-R|0|
KT-ST|KTILB|0|
KT-ST|KTILF|0|
KT-ST|KT-INDIA-A|0|
KT-ST|KT-INDIA-D|0|
KT-ST|KT-JAPAN-A|0|
KT-ST|KT-JAPAN-D|0|
KT-ST|KTLF|0|
KT-ST|KTLF70/30|0|
KT-ST|KT-mai|0|
KT-ST|KT-MINING|0|
KT-ST|KTMSEQ|0|
KT-ST|KT-OIL|0|
KT-ST|KTOIL5-1|0|
KT-ST|KT-PIF RMF|0|
KT-ST|KT-PIF-A|0|
KT-ST|KT-PIF-D|0|
KT-ST|KTPLUS|0|
KT-ST|KT-PRECIOUS|0|
KT-ST|KT-PROPERTY|0|
KT-ST|KT-PROPERTY RMF|0|
KT-ST|KTSE|0|
KT-ST|KTSE-LTF|0|
KT-ST|KTSE-RMF|0|
KT-ST|KT-SET50-A|0|
KT-ST|KTSET50RMF|0|
KT-ST|KTSF|0|
KT-ST|KTSIV3M1|0|
KT-ST|KTSIV3M2|0|
KT-ST|KTSIV3M3|0|
KT-ST|KTSIV6M1|0|
KT-ST|KTSIV6M2|0|
KT-ST|KTSIV6M3|0|
KT-ST|KTSIV6M4|0|
KT-ST|KTSIV6M5|0|
KT-ST|KTSIV6M6|0|
KT-ST|KTSS|0|
KT-ST|KTSTPLUS-A|0|
KT-ST|KTSV|0|
KT-ST|KT-US-A|0|
KT-ST|KT-WCORP|0|
KT-ST|KT-WEQ|0|
KT-ST|KT-WEQ RMF|0|
